Source,Target
M57GJBPI,72YLWTPE
M57GJBPI,7FDBMCVR
M57GJBPI,NR73ULRM
CZZ2XX98,G5PRW88S
CZZ2XX98,NLYWA8LV
CZZ2XX98,VGQW4TCY
NLYWA8LV,M7MTGMYF
NLYWA8LV,CZZ2XX98
NLYWA8LV,VGQW4TCY
NLYWA8LV,ZSQSX5Z4
UEPY899P,JLHHU9BP
NJJ973VS,WC7HH6HX
NJJ973VS,WASH9H7L
NJJ973VS,GZPYX9ML
NJJ973VS,VWWVS23T
NJJ973VS,RH3H5DB7
2SF4HXU2,AATRSKBL
GJM77Q9K,SADEY5LT
GJM77Q9K,5BG6WVIY
TAVCTA3B,ECSZPVUV
TAVCTA3B,FLHYI4GG
TAVCTA3B,XVE64LSJ
TAVCTA3B,MHIXCAVL
TAVCTA3B,WIAV2FDY
J8JZZA9M,ZZQB4HY5
J8JZZA9M,FV5LDYQ8
J8JZZA9M,7FDBMCVR
J8JZZA9M,PV3KNRMI
J8JZZA9M,CEDIC9GM
FV5LDYQ8,MHIXCAVL
FV5LDYQ8,PV3KNRMI
FV5LDYQ8,NRSD3EVJ
FV5LDYQ8,J8JZZA9M
FV5LDYQ8,NZACPAF3
FV5LDYQ8,7FDBMCVR
2QNGGQ9S,WSJTZAJ5
2QNGGQ9S,BX85ZNBK
2QNGGQ9S,SADEY5LT
2QNGGQ9S,X74A2Q5A
C6JKS3XF,47ZDYVQW
C6JKS3XF,8ZG2Q8M6
C6JKS3XF,ZSQSX5Z4
C6JKS3XF,PY9KP68T
C6JKS3XF,S3T9Z5S2
PY9KP68T,HMH9AGZM
PY9KP68T,C6JKS3XF
PY9KP68T,47ZDYVQW
PY9KP68T,8ZG2Q8M6
ZSQSX5Z4,NLYWA8LV
ZSQSX5Z4,C6JKS3XF
K6XGAUQB,2RPQ3E9E
K6XGAUQB,U3W5BLQ9
K6XGAUQB,5NFK46NT
6E5G37Y8,63SX3AAK
6E5G37Y8,UP5DR7RS
6E5G37Y8,9U834V9S
2XU4WNRW,P2JNU5VQ
2XU4WNRW,JM7QPJDC
2XU4WNRW,55SDD7NP
2XU4WNRW,CZUSV7HP
2XU4WNRW,CTJC5W9R
2XU4WNRW,DZMWFL5G
2XU4WNRW,ETBD3ZVU
2XU4WNRW,4XPCPUV8
XWGUNSSB,55SDD7NP
XWGUNSSB,7VNFPN8R
XWGUNSSB,DR7FK7LU
58Y4A3DE,AJZVQFV3
58Y4A3DE,55SDD7NP
58Y4A3DE,DR7FK7LU
58Y4A3DE,AZGUC3XU
58Y4A3DE,7VNFPN8R
58Y4A3DE,NCLYDKXG
58Y4A3DE,DZMWFL5G
NR73ULRM,M57GJBPI
NR73ULRM,9U834V9S
NR73ULRM,7FDBMCVR
9U834V9S,6E5G37Y8
9U834V9S,YN29B7LC
9U834V9S,63SX3AAK
9U834V9S,NR73ULRM
9U834V9S,UP5DR7RS
8ZG2Q8M6,C6JKS3XF
8ZG2Q8M6,99MHBXUU
8ZG2Q8M6,PY9KP68T
VWWVS23T,DE76QJUW
VWWVS23T,55SDD7NP
VWWVS23T,NJJ973VS
VWWVS23T,WC7HH6HX
DE76QJUW,WPIASHZ3
DE76QJUW,78DNS3Y6
DE76QJUW,VWWVS23T
TMXD5LPP,96LTXE77
TMXD5LPP,LZAZA7A9
TMXD5LPP,XVE64LSJ
VGQW4TCY,M7MTGMYF
VGQW4TCY,NLYWA8LV
VGQW4TCY,5GJLBF7K
VGQW4TCY,CZZ2XX98
VGQW4TCY,KAAZTIFZ
M7MTGMYF,SDBNZ63V
M7MTGMYF,5GJLBF7K
M7MTGMYF,JLHHU9BP
M7MTGMYF,VGQW4TCY
M7MTGMYF,NLYWA8LV
5GJLBF7K,VGQW4TCY
5GJLBF7K,M7MTGMYF
5GJLBF7K,KAAZTIFZ
H7Y7YZ4L,PV3KNRMI
H7Y7YZ4L,3KK6XJZX
H7Y7YZ4L,SF4DDPXM
H7Y7YZ4L,CEDIC9GM
H7Y7YZ4L,HC3Q9Q86
CEDIC9GM,JJIJSYMW
CEDIC9GM,H7Y7YZ4L
CEDIC9GM,ZZQB4HY5
CEDIC9GM,J8JZZA9M
CEDIC9GM,UIUWYF6M
CEDIC9GM,NZACPAF3
CEDIC9GM,7FDBMCVR
CEDIC9GM,PV3KNRMI
HC3Q9Q86,H7Y7YZ4L
HC3Q9Q86,63SX3AAK
HC3Q9Q86,SF4DDPXM
HC3Q9Q86,3KK6XJZX
PV3KNRMI,H7Y7YZ4L
PV3KNRMI,CEDIC9GM
PV3KNRMI,UIUWYF6M
PV3KNRMI,FV5LDYQ8
PV3KNRMI,NRSD3EVJ
PV3KNRMI,7FDBMCVR
PV3KNRMI,J8JZZA9M
PV3KNRMI,ZZQB4HY5
PV3KNRMI,NZACPAF3
PV3KNRMI,MHIXCAVL
PV3KNRMI,4VJBPME5
NZACPAF3,CEDIC9GM
NZACPAF3,7FDBMCVR
NZACPAF3,PV3KNRMI
NZACPAF3,FV5LDYQ8
NZACPAF3,ZZQB4HY5
NZACPAF3,UIUWYF6M
RE3KFCZ8,BX85ZNBK
RE3KFCZ8,7FDBMCVR
RE3KFCZ8,63SX3AAK
RE3KFCZ8,3KK6XJZX
RE3KFCZ8,SF4DDPXM
3KK6XJZX,HC3Q9Q86
3KK6XJZX,63SX3AAK
3KK6XJZX,H7Y7YZ4L
3KK6XJZX,BX85ZNBK
3KK6XJZX,RE3KFCZ8
3KK6XJZX,SF4DDPXM
BX85ZNBK,2QNGGQ9S
BX85ZNBK,55SDD7NP
BX85ZNBK,RE3KFCZ8
BX85ZNBK,SF4DDPXM
BX85ZNBK,SADEY5LT
BX85ZNBK,WSJTZAJ5
BX85ZNBK,3KK6XJZX
BX85ZNBK,63SX3AAK
SF4DDPXM,H7Y7YZ4L
SF4DDPXM,RE3KFCZ8
SF4DDPXM,YN29B7LC
SF4DDPXM,BX85ZNBK
SF4DDPXM,3KK6XJZX
SF4DDPXM,HC3Q9Q86
SF4DDPXM,63SX3AAK
ECSZPVUV,TAVCTA3B
ECSZPVUV,MHIXCAVL
BHSH5APZ,CTVUVAVH
CTVUVAVH,BHSH5APZ
CTVUVAVH,VSSFGZ4D
CTVUVAVH,J2PFN7QN
U3W5BLQ9,2RPQ3E9E
U3W5BLQ9,5NFK46NT
U3W5BLQ9,K6XGAUQB
HMH9AGZM,PY9KP68T
HMH9AGZM,S3T9Z5S2
HMH9AGZM,K4WIXJBP
K4WIXJBP,HMH9AGZM
K4WIXJBP,S3T9Z5S2
EJ9JU956,S3T9Z5S2
S3T9Z5S2,K4WIXJBP
S3T9Z5S2,C6JKS3XF
S3T9Z5S2,HMH9AGZM
S3T9Z5S2,EJ9JU956
ZZQB4HY5,UIUWYF6M
ZZQB4HY5,NZACPAF3
ZZQB4HY5,CEDIC9GM
ZZQB4HY5,7FDBMCVR
ZZQB4HY5,J8JZZA9M
ZZQB4HY5,PV3KNRMI
UIUWYF6M,NZACPAF3
UIUWYF6M,ZZQB4HY5
UIUWYF6M,PV3KNRMI
UIUWYF6M,CEDIC9GM
UIUWYF6M,7FDBMCVR
77FPHH9C,55SDD7NP
77FPHH9C,MUSL3SSD
GGM5SVZF,AJZVQFV3
GGM5SVZF,NCLYDKXG
GGM5SVZF,CTJC5W9R
4MYYECHF,CZUSV7HP
JGXTPTWA,UJLZT9PW
72YLWTPE,M57GJBPI
72YLWTPE,7FDBMCVR
7FDBMCVR,CEDIC9GM
7FDBMCVR,NR73ULRM
7FDBMCVR,M57GJBPI
7FDBMCVR,J8JZZA9M
7FDBMCVR,NZACPAF3
7FDBMCVR,ZZQB4HY5
7FDBMCVR,72YLWTPE
7FDBMCVR,RE3KFCZ8
7FDBMCVR,UIUWYF6M
7FDBMCVR,JJIJSYMW
7FDBMCVR,FV5LDYQ8
7FDBMCVR,4VJBPME5
7FDBMCVR,AZ7AJDXL
7FDBMCVR,PV3KNRMI
7FDBMCVR,FJUM4LF6
55SDD7NP,VWWVS23T
55SDD7NP,7VNFPN8R
55SDD7NP,BX85ZNBK
55SDD7NP,XWGUNSSB
55SDD7NP,2XU4WNRW
55SDD7NP,6Y2BD4B3
55SDD7NP,77FPHH9C
55SDD7NP,DR7FK7LU
55SDD7NP,JM7QPJDC
55SDD7NP,SADEY5LT
55SDD7NP,DZMWFL5G
55SDD7NP,78DNS3Y6
55SDD7NP,58Y4A3DE
KAAZTIFZ,CM66MUGF
KAAZTIFZ,SDBNZ63V
KAAZTIFZ,VGQW4TCY
KAAZTIFZ,5GJLBF7K
2RPQ3E9E,5K5LVC4N
2RPQ3E9E,U3W5BLQ9
2RPQ3E9E,K6XGAUQB
2RPQ3E9E,5NFK46NT
5K5LVC4N,2RPQ3E9E
5K5LVC4N,UJLZT9PW
XVE64LSJ,TAVCTA3B
XVE64LSJ,WSAF3XN8
XVE64LSJ,TMXD5LPP
XVE64LSJ,LZAZA7A9
VSSFGZ4D,6BJMBQD4
VSSFGZ4D,DYSAWCD6
VSSFGZ4D,CTVUVAVH
VSSFGZ4D,97B5BHBH
LNI5QP9M,BVT7FALB
NCLYDKXG,GGM5SVZF
NCLYDKXG,BVT7FALB
NCLYDKXG,4LM37JW9
NCLYDKXG,58Y4A3DE
CM66MUGF,SDBNZ63V
CM66MUGF,DYSAWCD6
CM66MUGF,KAAZTIFZ
DYSAWCD6,CM66MUGF
DYSAWCD6,VSSFGZ4D
5BG6WVIY,GJM77Q9K
5BG6WVIY,NNQTMK5M
SDBNZ63V,97B5BHBH
SDBNZ63V,M7MTGMYF
SDBNZ63V,KAAZTIFZ
SDBNZ63V,CM66MUGF
5TU82RVQ,C58YG73J
5TU82RVQ,SDVLBSJ4
5TU82RVQ,RDERMU2A
SDVLBSJ4,5TU82RVQ
SDVLBSJ4,C58YG73J
C58YG73J,SDVLBSJ4
C58YG73J,5TU82RVQ
6Y2BD4B3,WSJTZAJ5
6Y2BD4B3,X74A2Q5A
6Y2BD4B3,SADEY5LT
6Y2BD4B3,WQEPI5LQ
6Y2BD4B3,55SDD7NP
6Y2BD4B3,AJZVQFV3
PT43YUYX,X74A2Q5A
6PKZ5RW9,5M4XZQGR
7VNFPN8R,XWGUNSSB
7VNFPN8R,55SDD7NP
7VNFPN8R,58Y4A3DE
CZUSV7HP,4MYYECHF
CZUSV7HP,2XU4WNRW
CZUSV7HP,P2JNU5VQ
4XPCPUV8,2XU4WNRW
4XPCPUV8,P2JNU5VQ
4XPCPUV8,ETBD3ZVU
P2JNU5VQ,JM7QPJDC
P2JNU5VQ,CZUSV7HP
P2JNU5VQ,2XU4WNRW
P2JNU5VQ,CTJC5W9R
P2JNU5VQ,ETBD3ZVU
P2JNU5VQ,DZMWFL5G
P2JNU5VQ,4XPCPUV8
ETBD3ZVU,2XU4WNRW
ETBD3ZVU,P2JNU5VQ
ETBD3ZVU,4XPCPUV8
ETBD3ZVU,DR7FK7LU
ETBD3ZVU,AZGUC3XU
DR7FK7LU,58Y4A3DE
DR7FK7LU,55SDD7NP
DR7FK7LU,ETBD3ZVU
DR7FK7LU,XWGUNSSB
DR7FK7LU,SADEY5LT
DR7FK7LU,WSJTZAJ5
DR7FK7LU,MUSL3SSD
DZMWFL5G,2XU4WNRW
DZMWFL5G,P2JNU5VQ
DZMWFL5G,55SDD7NP
DZMWFL5G,58Y4A3DE
WIAV2FDY,GZA9CWI9
WIAV2FDY,TAVCTA3B
CTJC5W9R,2XU4WNRW
CTJC5W9R,P2JNU5VQ
CTJC5W9R,GGM5SVZF
JLVLWFX8,AZGUC3XU
AZGUC3XU,58Y4A3DE
AZGUC3XU,NNQTMK5M
AZGUC3XU,ETBD3ZVU
AZGUC3XU,JLVLWFX8
AZGUC3XU,MUSL3SSD
JM7QPJDC,55SDD7NP
JM7QPJDC,2XU4WNRW
JM7QPJDC,P2JNU5VQ
JM7QPJDC,MUSL3SSD
MUSL3SSD,JM7QPJDC
MUSL3SSD,77FPHH9C
MUSL3SSD,DR7FK7LU
MUSL3SSD,AZGUC3XU
WASH9H7L,F8ECAU98
WASH9H7L,IMUV9XQQ
WASH9H7L,78DNS3Y6
WASH9H7L,YN29B7LC
WASH9H7L,NJJ973VS
YN29B7LC,2R3YRWF6
YN29B7LC,WASH9H7L
YN29B7LC,F8ECAU98
YN29B7LC,IMUV9XQQ
YN29B7LC,SF4DDPXM
YN29B7LC,P5FM4SNB
YN29B7LC,78DNS3Y6
YN29B7LC,9U834V9S
YN29B7LC,WQEPI5LQ
FLHYI4GG,TAVCTA3B
FLHYI4GG,WQEPI5LQ
J2PFN7QN,U95PJ3CH
J2PFN7QN,6BJMBQD4
J2PFN7QN,CTVUVAVH
IMUV9XQQ,WASH9H7L
IMUV9XQQ,2R3YRWF6
IMUV9XQQ,YN29B7LC
IMUV9XQQ,WQEPI5LQ
P5FM4SNB,YN29B7LC
JJIJSYMW,CEDIC9GM
JJIJSYMW,7FDBMCVR
5NFK46NT,2RPQ3E9E
5NFK46NT,K6XGAUQB
5NFK46NT,U3W5BLQ9
99MHBXUU,8ZG2Q8M6
PJWUKXQF,UZWRD7LR
PJWUKXQF,4XR8PJVE
PJWUKXQF,X74A2Q5A
PJWUKXQF,E4T7S97P
PJWUKXQF,SADEY5LT
U95PJ3CH,J2PFN7QN
NRSD3EVJ,FV5LDYQ8
NRSD3EVJ,MHIXCAVL
NRSD3EVJ,PV3KNRMI
WNARQJEG,JLHHU9BP
G5PRW88S,CZZ2XX98
4LM37JW9,82A972Q8
4LM37JW9,5M4XZQGR
4LM37JW9,NCLYDKXG
4LM37JW9,WQEPI5LQ
5S8LE5XY,FJUM4LF6
33FLNFN9,LZAZA7A9
AZ7AJDXL,7FDBMCVR
AZ7AJDXL,FJUM4LF6
VM9IIN2Y,6RKMAGK2
6RKMAGK2,FJUM4LF6
6RKMAGK2,VM9IIN2Y
4VJBPME5,7FDBMCVR
4VJBPME5,R95KCFHA
4VJBPME5,PV3KNRMI
4VJBPME5,LZAZA7A9
FJUM4LF6,5S8LE5XY
FJUM4LF6,AZ7AJDXL
FJUM4LF6,WSAF3XN8
FJUM4LF6,7FDBMCVR
FJUM4LF6,6RKMAGK2
LZAZA7A9,33FLNFN9
LZAZA7A9,96LTXE77
LZAZA7A9,TMXD5LPP
LZAZA7A9,XVE64LSJ
LZAZA7A9,4VJBPME5
WSAF3XN8,MHIXCAVL
WSAF3XN8,GZA9CWI9
WSAF3XN8,UJLZT9PW
WSAF3XN8,XVE64LSJ
WSAF3XN8,FJUM4LF6
WSAF3XN8,BVT7FALB
WPIASHZ3,78DNS3Y6
WPIASHZ3,DE76QJUW
WPIASHZ3,RH3H5DB7
UP5DR7RS,9U834V9S
UP5DR7RS,6E5G37Y8
63SX3AAK,RE3KFCZ8
63SX3AAK,BX85ZNBK
63SX3AAK,SF4DDPXM
63SX3AAK,6E5G37Y8
63SX3AAK,9U834V9S
63SX3AAK,3KK6XJZX
63SX3AAK,HC3Q9Q86
63SX3AAK,WQEPI5LQ
BVT7FALB,82A972Q8
BVT7FALB,WSAF3XN8
BVT7FALB,LNI5QP9M
BVT7FALB,NCLYDKXG
97B5BHBH,VSSFGZ4D
97B5BHBH,SDBNZ63V
WC7HH6HX,VWWVS23T
WC7HH6HX,NJJ973VS
WC7HH6HX,GZPYX9ML
X74A2Q5A,SADEY5LT
X74A2Q5A,WSJTZAJ5
X74A2Q5A,PT43YUYX
X74A2Q5A,UZWRD7LR
X74A2Q5A,2QNGGQ9S
X74A2Q5A,PJWUKXQF
X74A2Q5A,4XR8PJVE
X74A2Q5A,6Y2BD4B3
X74A2Q5A,WQEPI5LQ
UZWRD7LR,UJLZT9PW
UZWRD7LR,PJWUKXQF
UZWRD7LR,AJZVQFV3
UZWRD7LR,4XR8PJVE
UZWRD7LR,E4T7S97P
UZWRD7LR,X74A2Q5A
4XR8PJVE,PJWUKXQF
4XR8PJVE,AJZVQFV3
4XR8PJVE,X74A2Q5A
4XR8PJVE,SADEY5LT
4XR8PJVE,UZWRD7LR
4XR8PJVE,E4T7S97P
96LTXE77,LZAZA7A9
96LTXE77,TMXD5LPP
R95KCFHA,4VJBPME5
RDERMU2A,5TU82RVQ
GZPYX9ML,WC7HH6HX
GZPYX9ML,RH3H5DB7
GZPYX9ML,NJJ973VS
RH3H5DB7,GZPYX9ML
RH3H5DB7,NJJ973VS
RH3H5DB7,WPIASHZ3
GZA9CWI9,WIAV2FDY
GZA9CWI9,WSAF3XN8
SADEY5LT,2QNGGQ9S
SADEY5LT,BX85ZNBK
SADEY5LT,WSJTZAJ5
SADEY5LT,55SDD7NP
SADEY5LT,GJM77Q9K
SADEY5LT,4XR8PJVE
SADEY5LT,PJWUKXQF
SADEY5LT,X74A2Q5A
SADEY5LT,6Y2BD4B3
SADEY5LT,WQEPI5LQ
SADEY5LT,DR7FK7LU
WSJTZAJ5,2QNGGQ9S
WSJTZAJ5,BX85ZNBK
WSJTZAJ5,6Y2BD4B3
WSJTZAJ5,WQEPI5LQ
WSJTZAJ5,X74A2Q5A
WSJTZAJ5,SADEY5LT
WSJTZAJ5,DR7FK7LU
2R3YRWF6,F8ECAU98
2R3YRWF6,YN29B7LC
2R3YRWF6,IMUV9XQQ
UJLZT9PW,JGXTPTWA
UJLZT9PW,5K5LVC4N
UJLZT9PW,UZWRD7LR
UJLZT9PW,WSAF3XN8
6BJMBQD4,J2PFN7QN
6BJMBQD4,VSSFGZ4D
QQVMNZ9Z,TY3Z4LB5
QQVMNZ9Z,JLHHU9BP
TY3Z4LB5,JLHHU9BP
TY3Z4LB5,QQVMNZ9Z
JLHHU9BP,QQVMNZ9Z
JLHHU9BP,TY3Z4LB5
JLHHU9BP,WNARQJEG
JLHHU9BP,UEPY899P
JLHHU9BP,M7MTGMYF
WQEPI5LQ,WSJTZAJ5
WQEPI5LQ,SADEY5LT
WQEPI5LQ,X74A2Q5A
WQEPI5LQ,IMUV9XQQ
WQEPI5LQ,FLHYI4GG
WQEPI5LQ,4LM37JW9
WQEPI5LQ,YN29B7LC
WQEPI5LQ,63SX3AAK
WQEPI5LQ,6Y2BD4B3
78DNS3Y6,55SDD7NP
78DNS3Y6,DE76QJUW
78DNS3Y6,WPIASHZ3
78DNS3Y6,WASH9H7L
78DNS3Y6,YN29B7LC
F8ECAU98,2R3YRWF6
F8ECAU98,WASH9H7L
F8ECAU98,YN29B7LC
MHIXCAVL,TAVCTA3B
MHIXCAVL,ECSZPVUV
MHIXCAVL,PV3KNRMI
MHIXCAVL,FV5LDYQ8
MHIXCAVL,NRSD3EVJ
MHIXCAVL,WSAF3XN8
5M4XZQGR,6PKZ5RW9
5M4XZQGR,4LM37JW9
AATRSKBL,NNQTMK5M
AATRSKBL,2SF4HXU2
47ZDYVQW,PY9KP68T
47ZDYVQW,C6JKS3XF
E4T7S97P,4XR8PJVE
E4T7S97P,PJWUKXQF
E4T7S97P,AJZVQFV3
E4T7S97P,UZWRD7LR
AJZVQFV3,58Y4A3DE
AJZVQFV3,6Y2BD4B3
AJZVQFV3,UZWRD7LR
AJZVQFV3,4XR8PJVE
AJZVQFV3,GGM5SVZF
AJZVQFV3,E4T7S97P
NNQTMK5M,AATRSKBL
NNQTMK5M,AZGUC3XU
NNQTMK5M,5BG6WVIY
82A972Q8,BVT7FALB
82A972Q8,4LM37JW9
